calendar_consistent,case_id,cleaned_output,delta_seconds,error,error_subtype,error_type,estimated_cost_usd,extraction_clean,format,format_compliance,gold_choice,gold_formatted,input_tokens,latency_ms,model,model_cell,options,output_tokens,parse_mode,provider_model,raw_output,reasoning_mode,reasoning_tokens,selected_choice,selected_option_content,semantic_correct,syntactic_valid,task_id,task_type,timestamp,warnings
True,extract_005__rfc_2822,"Mon, 01 Aug 2022 15:55:00 +0530",0.0,,,,0.001775,True,rfc_2822,1.0,,"Mon, 01 Aug 2022 15:55:00 +0530",245,4599,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Mon, 01 Aug 2022 15:55:00 +0530",non_reasoning,0,,,True,True,extract_005,extraction_from_passage,2026-03-14T07:57:30.426708Z,
,format_conv_018__iso_8601,2027-12-09T14:50:00+00:00,0.0,,,,0.00126,True,iso_8601,1.0,,2027-12-09T14:50:00+00:00,152,4000,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2027-12-09T14:50:00+00:00,non_reasoning,0,,,True,True,format_conv_018,format_conversion,2026-03-14T07:57:31.150505Z,
True,direct_gen_006__natural_language,"Monday, June 17, 2030 at 4:30 PM JST",0.0,,,,0.001305,True,natural_language,1.0,,"Monday, June 17, 2030 at 4:30 PM JST",151,3883,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Monday, June 17, 2030 at 4:30 PM JST",non_reasoning,0,,,True,True,direct_gen_006,direct_generation,2026-03-14T07:57:32.324149Z,
True,format_conv_020__natural_language,"Thursday, March 08, 2029 at 10:40 AM JST",0.0,,,,0.00133,True,natural_language,0.9743589743589743,,"Thursday, March 8, 2029 at 10:40 AM JST",156,4347,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Thursday, March 08, 2029 at 10:40 AM JST",non_reasoning,0,,,True,True,format_conv_020,format_conversion,2026-03-14T07:57:32.968162Z,
True,format_conv_019__natural_language,"Wednesday, June 08, 2022 at 7:25 AM EDT",0.0,,,,0.001305,True,natural_language,0.9736842105263158,,"Wednesday, June 8, 2022 at 7:25 AM EDT",156,5314,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Wednesday, June 08, 2022 at 7:25 AM EDT",non_reasoning,0,,,True,True,format_conv_019,format_conversion,2026-03-14T07:57:34.347719Z,
True,edge_005__natural_language,"Thursday, January 01, 2026 at 4:00 AM UTC",0.0,,,,0.001315,True,natural_language,0.975,,"Thursday, January 1, 2026 at 4:00 AM UTC",158,4628,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Thursday, January 01, 2026 at 4:00 AM UTC",non_reasoning,0,,,True,True,edge_005,edge_cases,2026-03-14T07:57:35.055678Z,
True,extract_009__natural_language,"Monday, September 2, 2024 at 8:40 AM BST",0.0,,,,0.00175,True,natural_language,1.0,,"Monday, September 2, 2024 at 8:40 AM BST",240,5322,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Monday, September 2, 2024 at 8:40 AM BST",non_reasoning,0,,,True,True,extract_009,extraction_from_passage,2026-03-14T07:57:36.473101Z,
,format_conv_016__iso_8601,2028-09-10T12:10:00+00:00,0.0,,,,0.001285,True,iso_8601,1.0,,2028-09-10T12:10:00+00:00,157,5038,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2028-09-10T12:10:00+00:00,non_reasoning,0,,,True,True,format_conv_016,format_conversion,2026-03-14T07:57:37.363044Z,
True,format_conv_014__natural_language,"Thursday, July 01, 2021 at 7:20 PM EDT",0.0,,,,0.001305,True,natural_language,0.972972972972973,,"Thursday, July 1, 2021 at 7:20 PM EDT",156,5154,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Thursday, July 01, 2021 at 7:20 PM EDT",non_reasoning,0,,,True,True,format_conv_014,format_conversion,2026-03-14T07:57:38.123869Z,
True,extract_019__natural_language,"Tuesday, June 09, 2020 at 7:10 PM AEST",0.0,,,,0.001765,True,natural_language,0.972972972972973,,"Tuesday, June 9, 2020 at 7:10 PM AEST",238,4941,anthropic/claude-opus-4.6,large_non_reasoning,{},23,strict,anthropic/claude-4.6-opus-20260205,"Tuesday, June 09, 2020 at 7:10 PM AEST",non_reasoning,0,,,True,True,extract_019,extraction_from_passage,2026-03-14T07:57:39.289619Z,
True,extract_004__rfc_2822,"Wed, 01 Mar 2023 20:45:00 +0530",0.0,,,,0.00177,True,rfc_2822,1.0,,"Wed, 01 Mar 2023 20:45:00 +0530",244,5230,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Wed, 01 Mar 2023 20:45:00 +0530",non_reasoning,0,,,True,True,extract_004,extraction_from_passage,2026-03-14T07:57:40.286708Z,
True,extract_008__rfc_2822,"Sun, 17 Sep 2028 15:50:00 +0000",0.0,,,,0.00176,True,rfc_2822,1.0,,"Sun, 17 Sep 2028 15:50:00 +0000",242,4688,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Sun, 17 Sep 2028 15:50:00 +0000",non_reasoning,0,,,True,True,extract_008,extraction_from_passage,2026-03-14T07:57:41.161836Z,
,mc_018__iso_8601,D,,,,,0.001375,True,iso_8601,1.0,D,2025-10-20T13:50:00+11:00,255,4993,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""2025-10-20 13:50:00+11:00"", ""B"": ""2025-10-21T13:50:00+11:00"", ""C"": ""2025-10-20T13:50:00-11:00"", ""D"": ""2025-10-20T13:50:00+11:00""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,D,non_reasoning,0,D,2025-10-20T13:50:00+11:00,True,True,mc_018,multiple_choice_validation,2026-03-14T07:57:42.356889Z,
True,extract_008__natural_language,"Sunday, September 17, 2028 at 3:50 PM UTC",0.0,,,,0.001715,True,natural_language,1.0,,"Sunday, September 17, 2028 at 3:50 PM UTC",238,5176,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Sunday, September 17, 2028 at 3:50 PM UTC",non_reasoning,0,,,True,True,extract_008,extraction_from_passage,2026-03-14T07:57:43.300730Z,
True,multi_hop_016__rfc_2822,"Mon, 17 Jun 2030 08:15:00 +0900",0.0,,,,0.00345,False,rfc_2822,1.0,,"Mon, 17 Jun 2030 08:15:00 +0900",195,6019,anthropic/claude-opus-4.6,large_non_reasoning,{},99,strict,anthropic/claude-4.6-opus-20260205,"The demo is exactly 2 weeks after June 6, 2030, which is June 20, 2030. QA freeze begins 3 days before the demo, which is June 17, 2030 at 8:15 AM Asia/Tokyo.

Asia/Tokyo is UTC+09:00 (no DST).

Mon, 17 Jun 2030 08:15:00 +0900",non_reasoning,0,,,True,True,multi_hop_016,multi_hop_reasoning,2026-03-14T07:57:45.309384Z,
True,temporal_arith_005__rfc_2822,"Sat, 11 Dec 2021 12:40:00 +0000",0.0,,,,0.0014,True,rfc_2822,1.0,,"Sat, 11 Dec 2021 12:40:00 +0000",165,5151,anthropic/claude-opus-4.6,large_non_reasoning,{},23,strict,anthropic/claude-4.6-opus-20260205,"Sat, 11 Dec 2021 12:40:00 +0000",non_reasoning,0,,,True,True,temporal_arith_005,temporal_arithmetic,2026-03-14T07:57:45.438213Z,
True,format_conv_009__natural_language,"Saturday, January 11, 2020 at 1:15 PM +0900",0.0,,,,0.00136,True,natural_language,0.8780487804878049,,"Saturday, January 11, 2020 at 1:15 PM JST",157,5257,anthropic/claude-opus-4.6,large_non_reasoning,{},23,strict,anthropic/claude-4.6-opus-20260205,"Saturday, January 11, 2020 at 1:15 PM +0900",non_reasoning,0,,,True,True,format_conv_009,format_conversion,2026-03-14T07:57:46.420062Z,
True,format_conv_004__natural_language,"Tuesday, February 10, 2026 at 1:10 PM UTC",0.0,,,,0.00131,True,natural_language,0.926829268292683,,"Tuesday, February 10, 2026 at 1:10 PM GMT",157,4863,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Tuesday, February 10, 2026 at 1:10 PM UTC",non_reasoning,0,,,True,True,format_conv_004,format_conversion,2026-03-14T07:57:48.164569Z,
True,temporal_arith_009__natural_language,"Saturday, February 03, 2029 at 1:20 PM UTC",0.0,,,,0.00132,True,natural_language,0.975609756097561,,"Saturday, February 3, 2029 at 1:20 PM UTC",159,3666,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Saturday, February 03, 2029 at 1:20 PM UTC",non_reasoning,0,,,True,True,temporal_arith_009,temporal_arithmetic,2026-03-14T07:57:48.976468Z,
,multi_hop_020__iso_8601,2025-09-29T08:15:00+09:00,0.0,,,,0.00146,True,iso_8601,1.0,,2025-09-29T08:15:00+09:00,192,4670,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2025-09-29T08:15:00+09:00,non_reasoning,0,,,True,True,multi_hop_020,multi_hop_reasoning,2026-03-14T07:57:50.109172Z,
True,edge_005__rfc_2822,"Thu, 01 Jan 2026 04:00:00 +0000",0.0,,,,0.00136,True,rfc_2822,1.0,,"Thu, 01 Jan 2026 04:00:00 +0000",162,4686,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Thu, 01 Jan 2026 04:00:00 +0000",non_reasoning,0,,,True,True,edge_005,edge_cases,2026-03-14T07:57:51.106999Z,
True,edge_016__natural_language,"Monday, March 01, 2100 at 10:00 AM UTC",0.0,,,,0.001315,True,natural_language,0.972972972972973,,"Monday, March 1, 2100 at 10:00 AM UTC",158,4079,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Monday, March 01, 2100 at 10:00 AM UTC",non_reasoning,0,,,True,True,edge_016,edge_cases,2026-03-14T07:57:52.244411Z,
True,format_conv_001__rfc_2822,"Sun, 27 Sep 2020 11:55:00 +0530",0.0,,,,0.001335,True,rfc_2822,1.0,,"Sun, 27 Sep 2020 11:55:00 +0530",157,3956,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Sun, 27 Sep 2020 11:55:00 +0530",non_reasoning,0,,,True,True,format_conv_001,format_conversion,2026-03-14T07:57:52.933468Z,
False,multi_hop_012__natural_language,"Saturday, June 07, 2027 at 8:15 AM JST",0.0,,,,0.001505,True,natural_language,0.8285714285714285,,"Monday, June 7, 2027 at 8:15 AM JST",191,4541,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Saturday, June 07, 2027 at 8:15 AM JST",non_reasoning,0,,,True,True,multi_hop_012,multi_hop_reasoning,2026-03-14T07:57:54.651835Z,
,mc_011__natural_language,A,,,wrong_choice,unknown,0.001405,True,natural_language,0.0,D,"Wednesday, July 18, 2029 at 8:10 PM BST",261,3813,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""Thursday, July 18, 2029 at 8:10 PM BST"", ""B"": ""Wednesday, July 18, 2029 at 8:10 AM BST"", ""C"": ""Thursday, July 19, 2029 at 8:10 PM BST"", ""D"": ""Wednesday, July 18, 2029 at 8:10 PM BST""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,A,non_reasoning,0,A,"Thursday, July 18, 2029 at 8:10 PM BST",False,True,mc_011,multiple_choice_validation,2026-03-14T07:57:54.920624Z,
True,temporal_arith_017__rfc_2822,"Thu, 28 Mar 2024 01:20:00 -0400",0.0,,,,0.00137115,True,rfc_2822,1.0,,"Thu, 28 Mar 2024 01:20:00 -0400",167,13457,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Thu, 28 Mar 2024 01:20:00 -0400",non_reasoning,0,,,True,True,temporal_arith_017,temporal_arithmetic,2026-03-14T07:57:56.492122Z,
True,temporal_arith_003__natural_language,"Sunday, March 30, 2025 at 4:30 AM BST",3600.0,,,arithmetic_error,0.001355,True,natural_language,0.972972972972973,,"Sunday, March 30, 2025 at 3:30 AM BST",161,4102,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Sunday, March 30, 2025 at 4:30 AM BST",non_reasoning,0,,,False,True,temporal_arith_003,temporal_arithmetic,2026-03-14T07:57:57.024590Z,
True,edge_008__rfc_2822,"Sun, 02 Nov 2025 03:30:00 -0500",0.0,,,,0.00137,True,rfc_2822,1.0,,"Sun, 02 Nov 2025 03:30:00 -0500",164,4166,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Sun, 02 Nov 2025 03:30:00 -0500",non_reasoning,0,,,True,True,edge_008,edge_cases,2026-03-14T07:57:57.777790Z,
True,temporal_arith_002__rfc_2822,"Sun, 02 Nov 2025 03:30:00 -0500",0.0,,,,0.001385,True,rfc_2822,1.0,,"Sun, 02 Nov 2025 03:30:00 -0500",167,3547,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Sun, 02 Nov 2025 03:30:00 -0500",non_reasoning,0,,,True,True,temporal_arith_002,temporal_arithmetic,2026-03-14T07:57:58.877622Z,
,extract_010__iso_8601,2029-03-13T14:00:00+09:00,0.0,,,,0.001715,True,iso_8601,1.0,,2029-03-13T14:00:00+09:00,243,4853,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2029-03-13T14:00:00+09:00,non_reasoning,0,,,True,True,extract_010,extraction_from_passage,2026-03-14T07:58:00.452301Z,
True,edge_002__rfc_2822,"Sat, 01 Mar 2025 12:00:00 +0000",0.0,,,,0.00136,True,rfc_2822,1.0,,"Sat, 01 Mar 2025 12:00:00 +0000",157,4849,anthropic/claude-opus-4.6,large_non_reasoning,{},23,strict,anthropic/claude-4.6-opus-20260205,"Sat, 01 Mar 2025 12:00:00 +0000",non_reasoning,0,,,True,True,edge_002,edge_cases,2026-03-14T07:58:01.874879Z,
,temporal_arith_016__iso_8601,2025-06-24T13:20:00+09:00,604800.0,,,arithmetic_error,0.00131,True,iso_8601,0.88,,2025-07-01T13:20:00+09:00,162,5728,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2025-06-24T13:20:00+09:00,non_reasoning,0,,,False,True,temporal_arith_016,temporal_arithmetic,2026-03-14T07:58:02.220947Z,
True,edge_003__natural_language,"Sunday, February 01, 2026 at 12:00 PM UTC",0.0,,,,0.00129,True,natural_language,0.975,,"Sunday, February 1, 2026 at 12:00 PM UTC",153,4811,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Sunday, February 01, 2026 at 12:00 PM UTC",non_reasoning,0,,,True,True,edge_003,edge_cases,2026-03-14T07:58:02.590448Z,
True,edge_017__rfc_2822,"Sat, 14 Mar 2026 00:00:00 +0000",0.0,,,,0.001315,True,rfc_2822,1.0,,"Sat, 14 Mar 2026 00:00:00 +0000",148,5124,anthropic/claude-opus-4.6,large_non_reasoning,{},23,strict,anthropic/claude-4.6-opus-20260205,"Sat, 14 Mar 2026 00:00:00 +0000",non_reasoning,0,,,True,True,edge_017,edge_cases,2026-03-14T07:58:04.002422Z,
True,format_conv_010__rfc_2822,"Fri, 24 Jun 2022 12:35:00 +0530",0.0,,,,0.001355,True,rfc_2822,1.0,,"Fri, 24 Jun 2022 12:35:00 +0530",156,4683,anthropic/claude-opus-4.6,large_non_reasoning,{},23,strict,anthropic/claude-4.6-opus-20260205,"Fri, 24 Jun 2022 12:35:00 +0530",non_reasoning,0,,,True,True,format_conv_010,format_conversion,2026-03-14T07:58:05.136466Z,
True,extract_002__rfc_2822,"Wed, 27 Feb 2030 11:15:00 +0000",0.0,,,,0.00176,True,rfc_2822,1.0,,"Wed, 27 Feb 2030 11:15:00 +0000",242,4740,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Wed, 27 Feb 2030 11:15:00 +0000",non_reasoning,0,,,True,True,extract_002,extraction_from_passage,2026-03-14T07:58:06.961986Z,
,format_conv_017__iso_8601,2022-06-02T12:40:00+05:30,0.0,,,,0.001285,True,iso_8601,1.0,,2022-06-02T12:40:00+05:30,157,5462,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2022-06-02T12:40:00+05:30,non_reasoning,0,,,True,True,format_conv_017,format_conversion,2026-03-14T07:58:08.053479Z,
True,multi_hop_011__natural_language,"Saturday, November 10, 2029 at 4:30 AM PST",0.0,,,,0.005425,False,natural_language,1.0,,"Saturday, November 10, 2029 at 4:30 AM PST",195,6670,anthropic/claude-opus-4.6,large_non_reasoning,{},178,strict,anthropic/claude-4.6-opus-20260205,"November 4, 2029 is a Sunday. The next Friday is November 9, 2029. The follow-up review is at 4:30 PM Pacific Time on that date. 12 hours after 4:30 PM is 4:30 AM the next day.

Now, I need to check daylight saving time. DST ends on November 4, 2029 (first Sunday of November). So by November 9, 2029, we are in PST.

The final sign-off is 12 hours after Friday November 9 at 4:30 PM PST, which is Saturday November 10 at 4:30 AM PST.

Saturday, November 10, 2029 at 4:30 AM PST",non_reasoning,0,,,True,True,multi_hop_011,multi_hop_reasoning,2026-03-14T07:58:08.545616Z,
,mc_003__iso_8601,C,,,,,0.001385,True,iso_8601,1.0,C,2025-11-08T09:40:00+05:30,257,4662,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""2025-11-08 09:40:00+05:30"", ""B"": ""2025-11-08T09:40:00-05:30"", ""C"": ""2025-11-08T09:40:00+05:30"", ""D"": ""2025-11-09T09:40:00+05:30""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,C,non_reasoning,0,C,2025-11-08T09:40:00+05:30,True,True,mc_003,multiple_choice_validation,2026-03-14T07:58:08.665443Z,
,extract_019__iso_8601,2020-06-09T19:10:00+10:00,0.0,,,,0.001695,True,iso_8601,1.0,,2020-06-09T19:10:00+10:00,239,4707,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2020-06-09T19:10:00+10:00,non_reasoning,0,,,True,True,extract_019,extraction_from_passage,2026-03-14T07:58:09.844771Z,
,multi_hop_013__iso_8601,2026-07-03T10:00:00+01:00,0.0,,,,0.003405,False,iso_8601,1.0,,2026-07-03T10:00:00+01:00,176,4879,anthropic/claude-opus-4.6,large_non_reasoning,{},101,strict,anthropic/claude-4.6-opus-20260205,"The first Monday of July 2026 is July 6, 2026. Alice's meeting is at 2026-07-06T10:00:00+01:00 (Europe/London is BST/UTC+1 in July).

72 hours before that is 2026-07-03T10:00:00+01:00.

2026-07-03T10:00:00+01:00",non_reasoning,0,,,True,True,multi_hop_013,multi_hop_reasoning,2026-03-14T07:58:11.841604Z,
,temporal_arith_007__iso_8601,2030-03-29T19:30:00+05:30,0.0,,,,0.00132,True,iso_8601,1.0,,2030-03-29T19:30:00+05:30,164,3977,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2030-03-29T19:30:00+05:30,non_reasoning,0,,,True,True,temporal_arith_007,temporal_arithmetic,2026-03-14T07:58:12.030952Z,
True,extract_011__natural_language,"Sunday, February 27, 2022 at 8:30 PM GMT",0.0,,,,0.001735,True,natural_language,1.0,,"Sunday, February 27, 2022 at 8:30 PM GMT",242,4694,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Sunday, February 27, 2022 at 8:30 PM GMT",non_reasoning,0,,,True,True,extract_011,extraction_from_passage,2026-03-14T07:58:13.240659Z,
True,edge_016__rfc_2822,"Mon, 01 Mar 2100 10:00:00 +0000",0.0,,,,0.00136,True,rfc_2822,1.0,,"Mon, 01 Mar 2100 10:00:00 +0000",162,5350,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Mon, 01 Mar 2100 10:00:00 +0000",non_reasoning,0,,,True,True,edge_016,edge_cases,2026-03-14T07:58:14.016122Z,
False,multi_hop_002__natural_language,"Saturday, December 14, 2030 at 9:00 AM UTC",86400.0,,,day_of_week_error,0.00146,True,natural_language,0.85,,"Friday, December 13, 2030 at 9:00 AM UTC",187,5025,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Saturday, December 14, 2030 at 9:00 AM UTC",non_reasoning,0,,,False,True,multi_hop_002,multi_hop_reasoning,2026-03-14T07:58:14.870630Z,
True,temporal_arith_001__natural_language,"Sunday, March 09, 2025 at 5:00 AM EDT",3600.0,,,arithmetic_error,0.00134,True,natural_language,0.9444444444444444,,"Sunday, March 9, 2025 at 4:00 AM EDT",163,4920,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Sunday, March 09, 2025 at 5:00 AM EDT",non_reasoning,0,,,False,True,temporal_arith_001,temporal_arithmetic,2026-03-14T07:58:16.952246Z,
True,multi_hop_004__natural_language,"Thursday, November 28, 2030 at 8:15 AM JST",0.0,,,,0.00398,False,natural_language,1.0,,"Thursday, November 28, 2030 at 8:15 AM JST",191,5416,anthropic/claude-opus-4.6,large_non_reasoning,{},121,strict,anthropic/claude-4.6-opus-20260205,"The kickoff is November 12, 2030 at 8:15 AM Asia/Tokyo.

The demo is exactly 3 weeks later: December 3, 2030 at 8:15 AM Asia/Tokyo.

QA freeze is 5 days before the demo: November 28, 2030 at 8:15 AM Asia/Tokyo.

November 28, 2030 is a Thursday.

Thursday, November 28, 2030 at 8:15 AM JST",non_reasoning,0,,,True,True,multi_hop_004,multi_hop_reasoning,2026-03-14T07:58:17.258437Z,
,extract_004__iso_8601,2023-03-01T20:45:00+05:30,0.0,,,,0.001705,True,iso_8601,1.0,,2023-03-01T20:45:00+05:30,241,4709,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2023-03-01T20:45:00+05:30,non_reasoning,0,,,True,True,extract_004,extraction_from_passage,2026-03-14T07:58:18.725614Z,
