count,error_type,format,model_cell
6,day_of_week_error,rfc_2822,large_non_reasoning
5,extraction_error,rfc_2822,large_non_reasoning
8,instruction_violation,rfc_2822,large_non_reasoning
3,unknown,rfc_2822,large_non_reasoning
11,arithmetic_error,rfc_2822,large_reasoning
2,day_of_week_error,rfc_2822,large_reasoning
3,extraction_error,rfc_2822,large_reasoning
2,syntax_error,rfc_2822,large_reasoning
8,arithmetic_error,rfc_2822,med_non_reasoning
17,day_of_week_error,rfc_2822,med_non_reasoning
7,extraction_error,rfc_2822,med_non_reasoning
3,instruction_violation,rfc_2822,med_non_reasoning
8,unknown,rfc_2822,med_non_reasoning
6,arithmetic_error,rfc_2822,med_reasoning
7,day_of_week_error,rfc_2822,med_reasoning
6,extraction_error,rfc_2822,med_reasoning
3,unknown,rfc_2822,med_reasoning
9,arithmetic_error,rfc_2822,small_non_reasoning
17,day_of_week_error,rfc_2822,small_non_reasoning
11,extraction_error,rfc_2822,small_non_reasoning
4,timezone_error,rfc_2822,small_non_reasoning
6,unknown,rfc_2822,small_non_reasoning
12,arithmetic_error,rfc_2822,small_reasoning
21,day_of_week_error,rfc_2822,small_reasoning
1,extraction_error,rfc_2822,small_reasoning
4,timezone_error,rfc_2822,small_reasoning
6,arithmetic_error,rfc_3339,large_non_reasoning
6,extraction_error,rfc_3339,large_non_reasoning
4,instruction_violation,rfc_3339,large_non_reasoning
4,unknown,rfc_3339,large_non_reasoning
10,arithmetic_error,rfc_3339,large_reasoning
3,extraction_error,rfc_3339,large_reasoning
1,unknown,rfc_3339,large_reasoning
14,arithmetic_error,rfc_3339,med_non_reasoning
7,extraction_error,rfc_3339,med_non_reasoning
2,instruction_violation,rfc_3339,med_non_reasoning
4,unknown,rfc_3339,med_non_reasoning
8,arithmetic_error,rfc_3339,med_reasoning
5,extraction_error,rfc_3339,med_reasoning
4,unknown,rfc_3339,med_reasoning
14,arithmetic_error,rfc_3339,small_non_reasoning
12,extraction_error,rfc_3339,small_non_reasoning
1,timezone_error,rfc_3339,small_non_reasoning
4,unknown,rfc_3339,small_non_reasoning
13,arithmetic_error,rfc_3339,small_reasoning
2,extraction_error,rfc_3339,small_reasoning
1,timezone_error,rfc_3339,small_reasoning
2,unknown,rfc_3339,small_reasoning
90,epoch_conversion_error,unix_epoch,large_non_reasoning
25,extraction_error,unix_epoch,large_non_reasoning
67,instruction_violation,unix_epoch,large_non_reasoning
1,syntax_error,unix_epoch,large_non_reasoning
8,unknown,unix_epoch,large_non_reasoning
82,epoch_conversion_error,unix_epoch,large_reasoning
14,extraction_error,unix_epoch,large_reasoning
2,syntax_error,unix_epoch,large_reasoning
7,unknown,unix_epoch,large_reasoning
79,epoch_conversion_error,unix_epoch,med_non_reasoning
12,extraction_error,unix_epoch,med_non_reasoning
87,instruction_violation,unix_epoch,med_non_reasoning
9,syntax_error,unix_epoch,med_non_reasoning
5,unknown,unix_epoch,med_non_reasoning
56,epoch_conversion_error,unix_epoch,med_reasoning
7,extraction_error,unix_epoch,med_reasoning
1,instruction_violation,unix_epoch,med_reasoning
1,syntax_error,unix_epoch,med_reasoning
6,unknown,unix_epoch,med_reasoning
149,epoch_conversion_error,unix_epoch,small_non_reasoning
25,extraction_error,unix_epoch,small_non_reasoning
1,syntax_error,unix_epoch,small_non_reasoning
7,unknown,unix_epoch,small_non_reasoning
87,epoch_conversion_error,unix_epoch,small_reasoning
16,extraction_error,unix_epoch,small_reasoning
2,syntax_error,unix_epoch,small_reasoning
2,unknown,unix_epoch,small_reasoning
